#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,eFG%,TS%
1,Luka Doncic,13,38.2,33.5,12.3,24.9,49.4,3.6,9.2,39.2,5.3,8.8,60,0.6,8.2,8.8,9.5,1.2,0.5,4.8,56.6,58.2
2,Michael Jordan,179,41.8,33.4,12.2,25.1,48.7,0.8,2.5,33.2,8.2,9.9,82.8,1.7,4.7,6.4,5.7,2.1,0.9,3.1,50.3,56.8
3,Allen Iverson,71,45.1,29.7,10.6,26.5,40.1,1.7,5.3,32.7,6.7,8.8,76.4,0.8,3,3.8,6,2.1,0.2,3.1,43.4,48.9
4,Kevin Durant,153,40.3,29.4,9.9,20.9,47.6,2.2,6.2,35.6,7.3,8.5,86.5,0.8,7,7.8,4,1,1.2,3.2,52.9,59.8
5,Donovan Mitchell,36,37.1,29.2,10,23,43.4,3.5,9.1,38.3,5.8,6.6,87,0.8,4.1,4.9,4.7,1.2,0.3,3.2,51,56.3
6,Jerry West,153,41.3,29.1,10.6,22.6,46.9,-,-,-,7.9,9.8,80.5,0,2,5.6,6.3,0,0,-,46.9,54.1
7,LeBron James,266,41.5,28.7,10.2,20.7,49.5,1.6,4.8,33.7,6.6,8.9,74,1.5,7.5,9,7.2,1.7,0.9,3.7,53.5,58.3
8,Jordan Poole,3,32.7,28.7,9.3,14,66.7,4.3,7.3,59.1,5.7,7,81,0,3,3,4.7,1,0.7,2.7,82.1,83.9
9,Ja Morant,8,38.6,27.8,9.6,20.6,46.7,1.6,5,32.5,6.9,9.3,74.3,1.5,4.4,5.9,8.6,0.8,0.4,3.8,50.6,56.2
10,Brandon Ingram,2,39,27.5,9.5,19,50,2,2.5,80,6.5,6.5,100,1,6.5,7.5,6.5,1,0.5,4.5,55.3,62.9
11,Trae Young,18,37.3,27.4,8.9,21.7,41.2,2.6,8.9,29.2,6.9,8.1,86.2,0.6,2.6,3.2,9.1,1.2,0,4.4,47.2,54.3
12,Devin Booker,24,39.7,27.4,9.7,21.3,45.3,2.3,6.5,35.3,5.8,6.4,90.2,0.7,4.8,5.4,4.5,0.8,0.2,3.5,50.7,56.7
13,Anthony Davis,39,37,27.3,9.8,18.3,53.8,0.8,2.4,32.6,6.9,8.2,83.8,2.4,7.9,10.3,2.8,1.3,1.8,2.4,56,62.5
14,Elgin Baylor,134,41.1,27,10.4,23.6,43.9,-,-,-,6.3,8.2,77.1,-,-,12.9,4,-,-,-,43.9,49.7
15,George Gervin,59,37.3,27,10.5,20.8,50.8,0,0.2,0,5.9,7.2,82.1,1.9,3.9,5.8,3.2,1.2,0.9,3.3,50.8,56.4
16,Billyray Bates,6,36.5,26.7,11,20.2,54.5,0.5,1.3,37.5,4.2,5.2,80.6,0.8,2,2.8,4.2,1.7,0.3,4.3,55.8,59.4
17,Stephen Curry,115,37.5,26.5,8.7,19.3,45.2,4.2,10.4,40.2,4.8,5.3,90.2,0.8,4.5,5.3,6.2,1.6,0.3,3.5,56.1,61.1
18,Nikola Jokic,46,36.9,26.1,10,19.5,51.3,1.9,4.7,39.4,4.2,5,84,3.1,8.3,11.4,6.3,1.1,0.9,2.9,56.1,60.1
19,Alex Groza,9,-,26,8.9,16.3,54.4,-,-,-,8.2,10.2,80.4,-,-,14,1.6,-,-,-,54.4,62.4
